id,lat,lon,name
273529123,46.8487124,7.189576,Zentrum-Garage Düdingen AG
273529124,46.8445768,7.1907102,Garage Vonlanthen AG
274077459,47.0159124,6.9063136,Garage de la Station
274592567,47.4896462,7.598234,Migrol Service Reinach BL
274678779,47.5258531,7.6037741,SOCAR Münchenstein
274716746,47.4236549,7.5047201,Ecostop Tankstelle
274815548,47.2466719,8.4610784,Avia Zürichstrasse
274978894,47.4832546,7.5461208,AVIA
274980463,47.2980447,8.3164949,Migrol Service Boswil
275422339,46.9454893,7.4712058,Shell
276414834,47.1985651,7.7869265,Garage Brunnbach
277469389,47.7030543,8.6453087,SOCAR Gruben
278205001,47.2295962,8.8437234,SOCAR Jona
278205018,47.2969244,8.8399034,Avia
278232271,46.6047314,6.5270144,Eni
278792162,46.9369824,7.4755179,Migrol
279370610,47.4890282,8.28805,Freie Tankstelle Velo Meier
279909825,47.2040191,8.7641063,Shell Freienbach
280528115,46.9546702,7.4332051,Migrol
281282674,46.2597266,6.947662,BP
281283867,46.3018161,6.978265,BP
281284025,46.3935598,6.921506,Shell
281284791,46.1111272,7.077013,Station Tamoil Quartz
281286146,46.109953,7.0773462,Station BP Martigny
281291631,46.2362395,6.9265364,Garage Defago - Toyota
281761432,46.898611,8.2506888,Socar
282180757,47.4009426,7.5424953,Remo Schmid
282439888,46.9732785,7.485325,Tamoil
283045787,47.4079233,7.5421063,Garage Lantz
283181019,47.3860523,8.5319464,Migrol Service Sihlquai
283201896,47.2018784,8.790165,BP
283213549,46.9368196,7.432424,Eni
284931676,46.2304848,6.0849653,Shell
286048215,47.1937469,7.4053771,SOCAR Grenchen
286056220,47.3292879,8.2023524,Feldgarage
286770232,46.752103,8.0483903,Socar
286782225,47.7235876,8.6397406,Avia
286879558,46.8866278,7.3890744,Agrola
286879677,46.9250194,7.416907,Ruedi Rüssel
287320953,47.1023815,6.8333999,BP Shop
287630914,47.1668796,9.4664798,Coop
288557316,47.4898013,7.5896372,Avia
288740214,46.7680292,7.3523004,Riffenmatt Garage GmbH
291415329,47.6550521,9.1647784,SOCAR Kreuzlingen
291769933,46.7707841,7.1634028,Garage du Tennis Marly SA
292331528,47.5600805,9.1320734,Agrola
292362274,46.7558732,7.1478931,Mini prix
292507777,46.7802595,6.6533462,Garage Bel-Air
293011493,47.5601728,8.4925388,Shell
293030011,47.3450854,8.7019951,Lenzlinger Söhne AG
293254091,46.818486,8.3979432,Shell
293585451,47.4727471,7.7555382,Coop Tankstelle
294055540,47.1102304,8.3211384,Migrol Tankstelle Emmen
294055589,47.1216181,8.3416496,Avia
295747025,47.119605,7.2429595,Socar
296253069,47.0893332,6.8075691,Coop Pronto
296941470,47.2140841,8.7004828,Avia
296990388,47.4275979,7.7714448,Migrol
297070232,46.7848989,6.6332171,Garage Bouby-Rolls
297302039,47.4070106,8.7269393,Shell Illnau
297993545,47.2299301,8.6671966,AVIA Wädenswil
298042177,47.5615782,7.5679874,BP
298681614,47.4940397,9.4683968,Garage Zender
298715804,47.4800585,9.0297703,BEBECO
298873230,46.2339875,6.0545816,Socar Meyrin
299311915,46.6246348,8.0304265,Oeltrans
299363864,47.1790298,8.4317033,Agrola
299364634,47.1795921,8.4338162,AutoSuter
299752761,47.3803229,8.5463543,Scall
299813447,47.2867307,8.5433519,Voegtlin-Meyer
299813627,46.9685847,6.8482514,Miniprix
300418712,47.393705,8.5059844,Avia Hardturmstrasse
300514678,47.7921289,8.6128299,SOCAR Bargen
300514679,47.7924263,8.6121257,Migrol Service Bargen
301208147,47.3728411,8.5211422,BP Service Wiedikon
301407672,47.4865145,8.2949688,Argovia Tankstelle
303314859,47.3629959,9.0734928,BP
303699177,47.4518342,8.7012565,BP Kemptthal Nord
303844420,46.9713525,7.3553734,Agrola
304014558,46.0872339,7.2068309,St Christophe
304917714,47.4541266,8.4383363,SOCAR Buchs ZH
304992273,47.4585509,8.4068901,Avia Harbernstrasse
304993060,47.4460704,8.4631797,Agrola Regensdorf
305469317,47.0012366,7.4619783,Avia
305469322,47.0043064,7.4629537,SOCAR Zollikofen
305701426,47.4448843,8.6233539,Avia Bassersdorf
305707837,47.4445742,8.6251146,SOCAR Bassersdorf
305765115,47.0631953,7.3348212,MACRO SWISS ENERGY AG
306231847,46.7038,6.5687812,Simond
306498031,46.5825559,6.6012717,Shell
307028624,47.2111081,7.5442211,Migrol Tankstelle Solothurn
307121153,47.4186697,8.6844858,AVIA
307121156,47.4220428,8.6848857,Migrol Tankstelle Effretikon
307363530,47.4620039,8.3353957,Coop
307661791,47.2370963,8.6374727,Ruedi Rüssel
307662123,47.2375535,8.6452619,Winterberg
307695032,47.2237124,7.7784468,AVIA
307698374,47.234814,9.0216688,BP
307821699,46.8623721,7.4607301,Ruedi Rüssel
308075661,46.9435046,7.3711499,Shell
308077581,46.9069076,7.2358556,Agrola
309112387,47.4344986,8.7635897,AVIA
309425295,47.327756,8.7824754,BP Zürcherstrasse
309431866,47.0904271,6.8085505,Migrol
309431882,47.093177,6.8150642,Entilles
309765158,47.0636968,6.7607215,Socar
309986668,46.0537291,8.9728703,Migrol
310205995,47.3968963,8.4404596,BP
310299936,47.2974998,7.9359255,SOCAR Oftringen
310314796,47.4294761,8.6871544,SOCAR Effretikon
310390136,46.0094621,8.9640309,Socar
310567715,46.3199827,10.0592318,Migrol
310668275,47.1057836,8.3795569,Agrola
310668277,47.1167598,8.3914953,Centrum Garage Notter
310875963,47.2302544,8.8481246,Migrol Tankstelle AMAG Jona
311097320,46.889789,7.2243433,Avia
311185159,47.4403024,9.4101696,BP
311252839,46.4237682,6.2544241,Coop Pronto
311319045,47.229728,8.4785611,Migrol Tankstelle Mettmenstetten
311976893,47.4010238,8.4915916,Shell Winzerstrasse
312012092,47.4141963,8.518214,Migrol Service Glaubten
312365830,46.1281589,7.0600696,Shell
312468153,47.1247819,7.2596305,Tamoil
312630282,47.1296307,7.2547306,Marché Brügg
313192016,47.4305917,8.9564422,Landi
313268393,47.3802915,8.4940158,Shell Rautistrasse
313783389,46.4767158,6.4011642,Coop
315513529,47.1008381,8.2673762,AVIA Tankstelle
316022671,47.4616297,9.5963017,Avia
316022885,47.4439922,9.5323785,BP
317038642,47.1433014,7.3733308,Juragarage-Peter
317045478,47.4712239,9.0585959,Avia
317828998,46.1738259,6.1283334,BP
318410355,47.419653,8.556201,Migrol Service Thurgauerstrasse
319114593,46.3152191,6.1919134,BP
319463995,47.4206438,9.36708,socar
319504511,46.4897328,6.3989245,Tamoil
320040835,47.4932576,8.8987116,Coop Tankstelle
320040876,47.4935613,8.8982352,Ruedi Rüssel
320182673,47.4938451,8.546728,Migrol Tankstelle Winkel
321271634,47.49898,8.7927573,AVIA
321362564,47.3917824,8.5424928,Tamoil
321853683,47.5062912,8.7141595,Avia
321855166,47.5111545,8.7604652,BP
322009546,46.1452015,6.1365929,Tamoil
322913188,47.0426407,8.5512547,Ruedi-Rüssel
323236561,47.4948853,8.3401247,Avia
324343384,47.3015936,8.4484256,Freie Tankstelle Zürcherstrasse
324648649,47.1858117,8.5209067,Migrol Service Baar
325054969,47.510109,7.6205122,Ruedi Rüssel
325787263,46.2037166,7.167091,Combustia
325851832,46.1848264,7.211407,Tamoil
327282170,46.5668634,6.558821,Migrol avec Magasin
328060238,45.9851267,8.936422,Shell
330142805,47.524994,8.5392925,Soli-Tankstelle
331317250,47.3674023,8.4943259,Migrol Service Triemli
331337817,46.6640423,9.5713655,Agrola
331589251,46.4711808,7.1281356,Agrola
333771406,47.3083286,7.9261251,Coop
334005113,47.4162331,9.3452637,Shell Service Waldau
335477010,47.2669797,8.6508957,Avia
335958350,47.390375,8.4913858,SOCAR Hohlstrasse
336019729,47.5574974,7.5469471,Coop Tankstelle
336601485,47.5995668,8.98116,Garage Bürki
338639819,47.3812597,8.5377769,Avia Service HB
339612237,47.2859721,8.5636417,Eni Thalwil
339612238,47.2864826,8.565863,BP Service Thalwil
339631367,47.2906713,8.4444262,Ruedi Rüssel Ottenbacherstrasse
339631500,47.2963684,8.4486157,Ruedi Rüssel Affolternstrasse
339957313,47.1966126,8.4810829,Avia
340381113,47.1546449,8.5599052,Migrol Tankstelle Schmidtli
343087168,47.6399737,9.2005165,Migrol Service Kreuzlingen
344194669,47.3176278,8.6669872,Shell Heuberg
344522057,46.5295496,9.8670469,bp
345328505,46.5572631,9.6246372,AVIA
345519391,47.1847934,8.683956,Ruedi Rüssel
346269257,47.4641549,8.9693339,Agrola
346406523,47.3232561,8.0219409,Avia
347351831,46.5181699,6.601295,Agip
347672312,46.5199316,6.630332,BP
349171294,47.198656,8.1084466,Garage Peter
349196976,47.0565682,8.2582774,Agrola
351947075,45.9820778,8.9294148,Esso
351947126,45.9806589,8.928934,Socar
351961987,46.1561379,8.9718321,Shell
352786909,46.9985153,6.7352154,Tamoil
353011599,47.4990816,7.7227859,SOCAR Füllinsdorf
353452474,47.5944448,7.6548837,bp
353452488,47.5919489,7.6529753,Avia
354407155,47.1130701,8.231858,BP
354548408,45.9937769,7.1825888,Tamoil
354593878,46.3082786,7.4694091,Eni
354633686,47.0623003,6.7574256,Coop
354695628,46.775381,7.1605758,Marché Gaillard
354850051,46.7592,7.0930799,Mini Prix
354850557,46.6432587,7.0637262,Garage de la Prairie
355232174,47.3416225,8.7155853,Avia
356056801,47.0859033,8.3464876,Migrol Service Ebikon
357231393,46.3063736,7.7511069,Fryand
357276942,46.3086349,7.7443331,Socar
357276951,46.3063782,7.750319,BP
357276994,46.303349,7.8012747,TAMOIL
357286346,46.2960807,7.8661349,Coop
357299631,46.2926024,7.8782351,Socar
357299672,46.2922381,7.8903445,Shell
357299691,46.2938618,7.9010155,Tamoil
357299708,46.2944104,7.9066116,BP
357312943,46.3075376,7.9648005,Tamoil
357329286,46.3230361,7.9882038,BP
360435741,46.5070058,6.6214654,Bateaux seulement
362795202,47.4258408,8.5478098,Shell Kolbenacker
362798141,47.4310129,8.5442164,Avia Glattalstrasse
363928734,46.9479904,10.3666863,Socar
363928741,46.9482689,10.366381,Migrol
363928771,46.9430137,10.358665,Migrol
364148994,46.6868797,7.6809306,Schönegg Garage
364779474,47.5462321,8.9595388,AVIA
364961808,47.4307159,9.636319,Agip
364961811,47.4307962,9.6358483,Shell
364961818,47.4311469,9.6345378,Avia
365933996,47.1281481,7.9973817,Coop
366112327,47.4438846,7.5983011,Migrol Tankstelle Grellingen
366590214,46.5031639,7.2870859,Avia
366785529,46.0180619,8.9619278,Eni
367085722,46.0239932,8.9659782,Shell
368286682,47.4821318,8.2124349,Migrol Service Windisch
369574530,47.1605058,7.2807866,Coop Pronto
370163795,46.7898569,7.1132621,Mini Prix
370171159,46.7677665,7.2002262,Miniprix Corpataux
370319481,46.456019,9.7907105,Socar
370382413,46.4658751,6.836337,Shell
370440105,47.0119027,6.9761983,Shell
370661427,47.5075392,7.7212426,Migrol Service Füllinsdorf
370661435,47.5075596,7.7208992,Migrol Tankstelle Füllinsdorf
370683555,46.6112522,7.0617905,Agip
370746834,47.4595255,8.3854725,Avia Landstrasse
370940073,46.20651,6.1095787,Shell
371009114,47.5183128,8.5927268,Migrol Tankstelle Embrach
371216706,46.9465199,7.3850241,Migrol Service Betlehem
371739009,46.6899318,7.6722379,Oeltrans AG
372974864,47.1164766,8.2000151,Landi Sempach-Station
373004907,46.0118935,8.9597563,Tamoil
373280989,47.1708686,8.0992783,Agrola
373802828,46.2323808,9.1029127,Eni
374188679,47.4911174,8.5033648,Avia
374570733,46.9546171,7.3318921,Haenggi
375944474,47.4431662,9.0714261,AVIA
377012210,47.4117175,8.4558201,Migrol Service Engstringen
377078146,46.9550024,7.2641814,Rüfenacht
378854352,46.6912023,6.9100826,Tamoil
378876538,46.6874474,6.9071126,Agrola
379083000,46.6153891,7.0520955,BP
379559846,47.1231221,7.9940004,Shell
